"hero_id","hero_name","de_lang_id","de_params","prop_1_id","prop_1_lang_id","prop_1_params","prop_2_id","prop_2_lang_id","prop_2_params","se_1_id","se_1_lang_id","se_1_params","passive_1_id","passive_1_params","passive_2_id","passive_2_params","prop_2_nested_1_id","prop_2_nested_1_lang_id","prop_2_nested_1_params","prop_2_nested_1_collection_name","prop_2_nested_2_id","prop_2_nested_2_lang_id","prop_2_nested_2_params","prop_2_nested_2_collection_name","cb_id","cb_lang_id","cb_params","de_id","se_2_id","se_2_lang_id","se_2_params","se_3_id","se_3_lang_id","se_3_params","fam_1_id","fam_1_lang_id","fam_1_params","prop_1_nested_1_id","prop_1_nested_1_lang_id","prop_1_nested_1_params","se_4_id","se_4_lang_id","se_4_params","prop_1_nested_2_lang_id","prop_1_nested_2_params","prop_1_nested_2_id","prop_1_nested_1_collection_name","prop_1_nested_2_collection_name","fam_2_id","fam_2_lang_id","fam_2_params","prop_3_id","prop_3_lang_id","prop_3_params","prop_3_nested_1_id","prop_3_nested_1_lang_id","prop_3_nested_1_params","prop_3_nested_2_id","prop_3_nested_2_lang_id","prop_3_nested_2_params","se_5_id","se_5_lang_id","se_5_params","se_1_nested_1_id","se_1_nested_1_lang_id","se_1_nested_1_params","passive_3_id","passive_3_params","se_2_nested_1_id","se_2_nested_1_lang_id","se_2_nested_1_params","se_2_nested_2_id","se_2_nested_2_lang_id","se_2_nested_2_params","se_4_nested_1_id","se_4_nested_1_lang_id","se_4_nested_1_params","se_4_nested_2_id","se_4_nested_2_lang_id","se_4_nested_2_params","se_1_nested_2_id","se_1_nested_2_lang_id","se_1_nested_2_params","se_3_nested_1_id","se_3_nested_1_lang_id","se_3_nested_1_params"
"fire_god_zidane","Zidane","specials.v2.directeffect.damage.single.enemies","{""HEALTH"": 355}","buff_steal_single_zidane","specials.v2.property.statuseffectreallocation.from.single.enemies.to.all.allies","{}","random_status_effects_zidane","specials.v2.property.randomstatuseffects","{""STATUSEFFECTS"": 15.0}","fire_elemental_crit_modifier_zidane","specials.v2.statuseffect.major.elementlinkcritmodifier.red.allies","{""TURNS"": 6, ""CRIT"": -80.0}","resist_buff_immunity","{}","increased_attack_per_enemies_not_red_zidane","{""ATTACK"": 5.0}","bleed_zidane","specials.v2.statuseffect.minor.bleeding.single.enemies","{""TURNS"": 3, ""DAMAGE"": 510}","barbed_bolt","poison_zidane","specials.v2.statuseffect.minor.poison.single.enemies","{""TURNS"": 3, ""DAMAGE"": 543}","poison_bolt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nomad_female_lord_costume_flame","Elena C","specials.v2.directeffect.damage.all.enemies","{""HEALTH"": 172}","","","","","","","counter_attack_more_more","specials.v2.statuseffect.minor.counterattack.neartotarget.allies","{""TURNS"": 5, ""DEFLECTION"": 155.0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"orc_gladiator_costume_chef","Boldtusk C","specials.v2.directeffect.heal.all.allies","{""HEALTH"": 37}","","","","","","","basic_attack","specials.v2.statuseffect.minor.attackmodifier.all.allies","{""TURNS"": 4, ""ATTACK"": 30.0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"oriental_female_mystic_costume_magician","Vivica C","specials.v2.directeffect.heal.all.allies","{""HEALTH"": 44}","","","","","","","brittle_more","specials.v2.statuseffect.minor.defensemodifier.all.enemies","{""TURNS"": 4, ""DEFENSE"": -44.0}","","","","","","","","","","","","","clear_buffs_effect","specials.v2.clearbuffs.minorbuff.all.enemies","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"blackguard_commander_costume_metal","Tiburtus C","specials.v2.directeffect.damage.all.enemies","{""HEALTH"": 175}","","","","","","","brittle","specials.v2.statuseffect.minor.defensemodifier.all.enemies","{""TURNS"": 4, ""DEFENSE"": -34.0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nordic_male_lord_costume_senior","Richard C","specials.v2.directeffect.damage.neartotargetminor.enemies","{""HEALTH"": 435}","","","","","","","stun","specials.v2.statuseffect.minor.attackmodifier.neartotarget.enemies","{""TURNS"": 4, ""ATTACK"": -34.0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"oriental_enchanted_monk_costume_tiger","Joon C","specials.v2.directeffect.damage.single.enemies","{""HEALTH"": 488}","","","","","","","blind","specials.v2.statuseffect.minor.accuracymodifier.single.enemies","{""TURNS"": 4, ""ACCURACY"": -135.0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"royal_knight_costume_blacksmith","Gunnar C","N/A","{}","","","","","","","soul_connection","specials.v2.statuseffect.minor.soulconnection.all.enemies","{""TURNS"": 5}","","","","","","","","","","","","","","","","direct_effect_no_type","brittle_more","specials.v2.statuseffect.minor.defensemodifier.all.enemies","{""TURNS"": 5, ""DEFENSE"": -44.0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"oriental_brawler_costume_egypt","Bane C","specials.v2.directeffect.damage.single.enemies","{""HEALTH"": 280}","","","","","","","blind_more","specials.v2.statuseffect.minor.accuracymodifier.single.enemies","{""TURNS"": 4, ""ACCURACY"": -140.0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"forest_mage_costume_white","Melendor C","N/A","{}","","","","","","","hp_recovery_more","specials.v2.statuseffect.major.fixedhealthrecovery.all.allies","{""TURNS"": 3, ""TOTAL"": 1120}","","","","","","","","","","","","","clear_buffs_effect","specials.v2.clearbuffs.minorbuff.all.enemies","{}","direct_effect_no_type","medium_defense","specials.v2.statuseffect.major.defensemodifier.all.allies","{""TURNS"": 3, ""DEFENSE"": 46.0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
